GEOID,NAME,Total_Population,Median_Household_Income,Poverty_Count,Poverty_Rate,Total_Housing_Units_Calc,Occupied_Housing_Units,Vacant_Housing_Units,Vacancy_Rate,tract,year
56021000503,"Census Tract 5.03, Laramie County, Wyoming",5411.0,77808.0,370.0,0.06837922749953798,2236.0,2122.0,114.0,0.050983899821109124,000503,2020
56021000601,"Census Tract 6.01, Laramie County, Wyoming",3051.0,50854.0,361.0,0.11832186168469354,1572.0,1310.0,262.0,0.16666666666666666,000601,2020
56021000602,"Census Tract 6.02, Laramie County, Wyoming",2947.0,64936.0,202.0,0.06854428232100442,1346.0,1270.0,76.0,0.05646359583952452,000602,2020
56021000701,"Census Tract 7.01, Laramie County, Wyoming",2693.0,42241.0,234.0,0.08689194207203862,1779.0,1533.0,246.0,0.13827993254637436,000701,2020
56021000702,"Census Tract 7.02, Laramie County, Wyoming",1247.0,30982.0,178.0,0.14274258219727345,666.0,574.0,92.0,0.13813813813813813,000702,2020
56021000800,"Census Tract 8, Laramie County, Wyoming",1665.0,70521.0,103.0,0.061861861861861864,812.0,737.0,75.0,0.09236453201970443,000800,2020
56021000900,"Census Tract 9, Laramie County, Wyoming",2511.0,79233.0,150.0,0.05973715651135006,1411.0,1267.0,144.0,0.10205527994330262,000900,2020
56021001000,"Census Tract 10, Laramie County, Wyoming",3160.0,57096.0,226.0,0.07151898734177216,1685.0,1501.0,184.0,0.10919881305637982,001000,2020
56021001100,"Census Tract 11, Laramie County, Wyoming",2997.0,63333.0,134.0,0.044711378044711377,759.0,746.0,13.0,0.017127799736495388,001100,2020
56021001200,"Census Tract 12, Laramie County, Wyoming",4971.0,91100.0,411.0,0.08267954133977067,2411.0,2182.0,229.0,0.09498133554541684,001200,2020
56021001301,"Census Tract 13.01, Laramie County, Wyoming",2564.0,67269.0,252.0,0.09828393135725429,1407.0,1317.0,90.0,0.06396588486140725,001301,2020
56021001302,"Census Tract 13.02, Laramie County, Wyoming",5645.0,106083.0,76.0,0.013463241806908768,2257.0,2206.0,51.0,0.02259636685866194,001302,2020
56021001401,"Census Tract 14.01, Laramie County, Wyoming",3691.0,77444.0,194.0,0.05256028176645895,1552.0,1458.0,94.0,0.06056701030927835,001401,2020
56021001402,"Census Tract 14.02, Laramie County, Wyoming",2821.0,64856.0,181.0,0.0641616448068061,1408.0,1344.0,64.0,0.045454545454545456,001402,2020
56021001501,"Census Tract 15.01, Laramie County, Wyoming",5530.0,72081.0,372.0,0.06726943942133816,2379.0,2196.0,183.0,0.07692307692307693,001501,2020
56021001502,"Census Tract 15.02, Laramie County, Wyoming",4648.0,53587.0,442.0,0.0950946643717728,2362.0,2144.0,218.0,0.09229466553767993,001502,2020
56021001901,"Census Tract 19.01, Laramie County, Wyoming",5497.0,105259.0,243.0,0.04420593050754957,2048.0,1951.0,97.0,0.04736328125,001901,2020
56021001902,"Census Tract 19.02, Laramie County, Wyoming",4441.0,86667.0,153.0,0.034451700067552354,2105.0,1806.0,299.0,0.14204275534441804,001902,2020
56021002001,"Census Tract 20.01, Laramie County, Wyoming",4314.0,69657.0,455.0,0.10547056096430227,1632.0,1528.0,104.0,0.06372549019607843,002001,2020
56021002002,"Census Tract 20.02, Laramie County, Wyoming",6001.0,106667.0,402.0,0.06698883519413432,2264.0,2148.0,116.0,0.05123674911660778,002002,2020
